accession,biosample,bioproject,studyId,dri_orcids
ERR15958446,ERS27942361,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958447,ERS27942361,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958448,ERS27942362,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958449,ERS27942362,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958450,ERS27942363,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958451,ERS27942363,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958452,ERS27942364,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958453,ERS27942364,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958454,ERS27942365,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958455,ERS27942365,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958456,ERS27942367,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958457,ERS27942367,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958458,ERS27942366,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958459,ERS27942368,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958460,ERS27942368,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958461,ERS27942369,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958462,ERS27942369,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958463,ERS27942371,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958464,ERS27942370,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958465,ERS27942372,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958466,ERS27942374,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958467,ERS27942373,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958468,ERS27942376,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958469,ERS27942375,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958470,ERS27942376,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958471,ERS27942377,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958472,ERS27942377,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958473,ERS27942378,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958474,ERS27942377,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958475,ERS27942379,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958476,ERS27942378,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958477,ERS27942379,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958478,ERS27942380,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958479,ERS27942381,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958480,ERS27942382,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958481,ERS27942382,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958482,ERS27942383,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958483,ERS27942383,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958484,ERS27942383,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958485,ERS27942384,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958486,ERS27942384,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958487,ERS27942385,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958488,ERS27942385,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958489,ERS27942386,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958490,ERS27942386,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958491,ERS27942386,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958492,ERS27942386,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958493,ERS27942387,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958494,ERS27942388,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958495,ERS27942387,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958496,ERS27942388,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958497,ERS27942389,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958498,ERS27942389,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958499,ERS27942390,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958500,ERS27942390,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958501,ERS27942390,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958502,ERS27942391,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958503,ERS27942393,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958504,ERS27942392,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958505,ERS27942394,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958506,ERS27942394,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958507,ERS27942394,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958508,ERS27942395,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958509,ERS27942396,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958510,ERS27942396,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958511,ERS27942396,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958512,ERS27942397,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958513,ERS27942397,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958514,ERS27942397,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958515,ERS27942398,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958516,ERS27942399,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958517,ERS27942400,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958518,ERS27942401,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958519,ERS27942401,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958520,ERS27942402,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958521,ERS27942402,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958522,ERS27942403,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958523,ERS27942404,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958524,ERS27942405,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958525,ERS27942406,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958526,ERS27942406,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958527,ERS27942407,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958528,ERS27942406,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958529,ERS27942407,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958530,ERS27942408,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958531,ERS27942408,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958532,ERS27942409,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958533,ERS27942409,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958534,ERS27942410,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958535,ERS27942410,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958536,ERS27942411,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958537,ERS27942411,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958538,ERS27942412,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958539,ERS27942412,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958540,ERS27942413,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958541,ERS27942414,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958542,ERS27942415,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958543,ERS27942416,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958544,ERS27942417,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958545,ERS27942418,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958546,ERS27942418,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958547,ERS27942419,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958548,ERS27942419,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958549,ERS27942420,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958550,ERS27942420,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958551,ERS27942421,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958552,ERS27942421,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958553,ERS27942422,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958554,ERS27942422,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958555,ERS27942423,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958556,ERS27942423,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958557,ERS27942424,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958558,ERS27942424,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958559,ERS27942424,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958560,ERS27942424,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958561,ERS27942425,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958562,ERS27942425,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958563,ERS27942426,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958564,ERS27942426,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958565,ERS27942427,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958566,ERS27942427,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958567,ERS27942428,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958568,ERS27942428,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958569,ERS27942429,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958570,ERS27942430,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958571,ERS27942431,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958572,ERS27942430,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958573,ERS27942431,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958574,ERS27942432,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958575,ERS27942432,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958576,ERS27942433,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958577,ERS27942434,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958578,ERS27942433,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958579,ERS27942434,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958580,ERS27942435,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958581,ERS27942434,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958582,ERS27942435,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958583,ERS27942436,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958584,ERS27942436,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958585,ERS27942437,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958586,ERS27942437,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958587,ERS27942438,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958588,ERS27942438,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958589,ERS27942439,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958590,ERS27942438,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958591,ERS27942439,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958592,ERS27942440,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958593,ERS27942440,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958594,ERS27942441,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958595,ERS27942441,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958596,ERS27942442,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958597,ERS27942442,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958598,ERS27942443,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958599,ERS27942443,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958600,ERS27942444,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958601,ERS27942444,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958602,ERS27942445,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958603,ERS27942445,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958604,ERS27942446,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958605,ERS27942446,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958606,ERS27942446,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958607,ERS27942447,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958608,ERS27942448,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958609,ERS27942447,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958610,ERS27942448,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958611,ERS27942448,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958612,ERS27942448,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958613,ERS27942448,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958614,ERS27942449,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958615,ERS27942449,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958616,ERS27942450,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958617,ERS27942450,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958618,ERS27942451,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958619,ERS27942451,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958620,ERS27942452,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958621,ERS27942452,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958622,ERS27942453,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958623,ERS27942453,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958624,ERS27942454,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958625,ERS27942455,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958626,ERS27942454,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958627,ERS27942456,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958628,ERS27942455,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958629,ERS27942456,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958630,ERS27942457,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958631,ERS27942457,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958632,ERS27942458,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958633,ERS27942458,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958634,ERS27942459,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958635,ERS27942459,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958636,ERS27942460,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958637,ERS27942460,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958638,ERS27942461,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958639,ERS27942461,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958640,ERS27942462,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958641,ERS27942462,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958642,ERS27942463,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958643,ERS27942464,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958644,ERS27942463,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958645,ERS27942464,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958646,ERS27942465,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958647,ERS27942465,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958648,ERS27942466,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958649,ERS27942466,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958650,ERS27942467,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958651,ERS27942467,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958652,ERS27942468,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958653,ERS27942469,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958654,ERS27942470,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958655,ERS27942471,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958656,ERS27942472,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958657,ERS27942474,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958658,ERS27942473,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958659,ERS27942474,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958660,ERS27942474,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958661,ERS27942475,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958662,ERS27942476,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958663,ERS27942476,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958664,ERS27942477,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958665,ERS27942477,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958666,ERS27942478,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958667,ERS27942478,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958668,ERS27942478,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958669,ERS27942479,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958670,ERS27942480,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958671,ERS27942480,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958672,ERS27942481,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958673,ERS27942481,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958674,ERS27942482,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958675,ERS27942482,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958676,ERS27942482,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958677,ERS27942483,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958678,ERS27942484,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958679,ERS27942485,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958680,ERS27942487,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958681,ERS27942486,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958682,ERS27942488,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958683,ERS27942488,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958684,ERS27942488,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958685,ERS27942489,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958686,ERS27942490,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958687,ERS27942490,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958688,ERS27942490,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958689,ERS27942491,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958690,ERS27942492,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958691,ERS27942493,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958692,ERS27942494,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958693,ERS27942494,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958694,ERS27942494,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958695,ERS27942495,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958696,ERS27942495,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958697,ERS27942495,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958698,ERS27942496,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958699,ERS27942497,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958700,ERS27942498,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958701,ERS27942498,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958702,ERS27942498,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958703,ERS27942499,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958704,ERS27942501,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958705,ERS27942500,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958706,ERS27942501,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958707,ERS27942502,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
ERR15958708,ERS27942502,PRJEB103811,ERP185163,0000-0002-1635-1249; 0000-0003-2786-2690
